PMS,CLASS,TYPE,FACING,DIA(LOW),DIA(HIGH),RATING,DESIGN_STANDARD,MATERIAL_DESCRIPTION
EIL,B25K,SEAMLESS,BE,6,6,10S,B-36.19,ASTM A312 TP304
EIL,B25K,SEAMLESS,BE,8,8,6.35MM,B-36.19,ASTM A312 TP304
EIL,B25K,EFSW,BE,10,10,6.35MM,B-36.19,ASTM A358 TP304 CL.1
EIL,B25K,EFSW,BE,12,12,8.38MM,B-36.19,ASTM A358 TP304 CL.1
EIL,B25K,EFSW,BE,14,14,7.92MM,B-36.19,ASTM A358 TP304 CL.1
EIL,B25K,EFSW,BE,16,18,40S,B-36.19,ASTM A358 TP304 CL.1
EIL,B25K,EFSW,BE,20,24,CALC,B-36.19,ASTM A358 TP304 CL.1
EIL,B6K,SEAMLESS,PE,0.5,0.75,80S,B-36.19,ASTM A312 TP304L
EIL,B6K,SEAMLESS,PE,1,1.5,40S,B-36.19,ASTM A312 TP304L
EIL,B6K,SEAMLESS,BE,2,6,40S,B-36.19,ASTM A312 TP304L
EIL,B6K,SEAMLESS,BE,8,8,6.35MM,B-36.19,ASTM A312 TP304L
EIL,B6K,EFSW,BE,10,10,7.8MM,B-36.19,ASTM A358 TP304L CL.1
EIL,B6K,EFSW,BE,12,12,8.38MM,B-36.19,ASTM A358 TP304L CL.1
EIL,B6K,EFSW,BE,14,14,40S,B-36.19,ASTM A358 TP304L CL.1
EIL,B6K,EFSW,BE,16,24,CALC,B-36.19,ASTM A358 TP304L CL.1
EIL,B15M,SEAMLESS,PE,0.5,0.75,80S,B-36.19,ASTM A312 TP321
EIL,B15M,SEAMLESS,PE,1,1.5,40S,B-36.19,ASTM A312 TP321
EIL,B15M,SEAMLESS,BE,2,6,40S,B-36.19,ASTM A312 TP321
EIL,B15M,SEAMLESS,BE,8,8,6.35MM,B-36.19,ASTM A312 TP321
EIL,B15M,EFSW,BE,10,10,7.8MM,B-36.19,ASTM A358 TP321 CL.1
EIL,B15M,EFSW,BE,12,12,8.38MM,B-36.19,ASTM A358 TP321 CL.1
EIL,B15M,EFSW,BE,14,14,40S,B-36.19,ASTM A358 TP321 CL.1
EIL,B3M,SEAMLESS,PE,0.5,0.75,80S,B-36.19,ASTM A312 TP321
EIL,B3M,SEAMLESS,PE,1,1.5,40S,B-36.19,ASTM A312 TP321
EIL,B3M,SEAMLESS,BE,2,6,40S,B-36.19,ASTM A312 TP321
EIL,B3M,SEAMLESS,BE,8,8,6.35MM,B-36.19,ASTM A312 TP321
EIL,B3M,EFSW,BE,10,10,7.8MM,B-36.19,ASTM A358 TP321 CL.1
EIL,B3M,EFSW,BE,12,12,8.38MM,B-36.19,ASTM A358 TP321 CL.1
EIL,B3M,EFSW,BE,14,14,9.53MM,B-36.19,ASTM A358 TP321 CL.1
EIL,B3M,EFSW,BE,16,24,CALC,B-36.19,ASTM A358 TP321 CL.1
EIL,B15D,SEAMLESS,PE,0.5,0.75,S160,B-36.10,ASTM A335 GR.P11
EIL,B15D,SEAMLESS,PE,1,1.5,XS,B-36.10,ASTM A335 GR.P11
EIL,B15D,SEAMLESS,BE,2,2,XS,B-36.10,ASTM A335 GR.P11
EIL,B15D,SEAMLESS,BE,3,12,STD,B-36.10,ASTM A335 GR.P11
EIL,B15D,EFSW,BE,14,14,XS,B-36.10,ASTM A335 GR.P11
EIL,B15D,EFSW,BE,16,18,XS,B-36.10,ASTM A691 GR.1.25CR CL.42
EIL,B15D,EFSW,BE,20,20,XS,B-36.10,ASTM A691 GR.1.25CR CL.42
EIL,B1D,SEAMLESS,PE,0.5,0.75,S160,B-36.10,ASTM A335 GR.P11
EIL,B1D,SEAMLESS,PE,1,1.5,XS,B-36.10,ASTM A335 GR.P11
EIL,B1D,SEAMLESS,BE,2,2,XS,B-36.10,ASTM A335 GR.P11
EIL,B1D,SEAMLESS,BE,3,12,STD,B-36.10,ASTM A335 GR.P11
EIL,B1D,EFSW,BE,14,14,XS,B-36.10,ASTM A335 GR.P11
EIL,B1D,EFSW,BE,16,18,XS,B-36.10,ASTM A691 GR.1.25CR CL.42
EIL,B1D,EFSW,BE,20,24,CALC,B-36.10,ASTM A691 GR.1.25CR CL.42
EIL,B25D,SEAMLESS,PE,0.5,0.75,S160,B-36.10,ASTM A335 GR.P11
EIL,B25D,SEAMLESS,PE,1,1.5,XS,B-36.10,ASTM A335 GR.P11
EIL,B25D,SEAMLESS,BE,2,2,XS,B-36.10,ASTM A335 GR.P11
EIL,B25D,SEAMLESS,BE,3,4,STD,B-36.10,ASTM A335 GR.P11
EIL,B25D,SEAMLESS,BE,6,8,STD,B-36.10,ASTM A335 GR.P11
EIL,B25D,SEAMLESS,BE,10,12,XS,B-36.10,ASTM A335 GR.P11
EIL,B25D,SEAMLESS,BE,14,14,XS,B-36.10,ASTM A335 GR.P11
EIL,B25D,EFSW,BE,16,16,XS,B-36.10,ASTM A691 GR.1.25CR CL.42
